event_date,close_price_usd,market_cap_usd,volume_usd
2020-04-10 00:00:00 UTC,0.9545141322744942,0,0
2020-04-11 00:00:00 UTC,0.78626677957942,7660846.624117442,93301994.72088043
2020-04-12 00:00:00 UTC,0.8564213714952221,6277690.518566741,49556726.98122313
2020-04-13 00:00:00 UTC,0.7910296535429877,7007955.255134167,37870403.75532711
2020-04-14 00:00:00 UTC,0.6596208793519226,6293697.556366917,19325139.840762906
2020-04-15 00:00:00 UTC,0.6305742821149114,5333387.124121048,17849052.056654558
2020-04-16 00:00:00 UTC,0.6943420756820482,5100968.538467733,13247827.641450131
2020-04-17 00:00:00 UTC,0.6567473335188474,5554736.605456386,23199858.9547369
2020-04-18 00:00:00 UTC,0.6772562914702702,5253978.668150779,10216113.697495757
2020-04-19 00:00:00 UTC,0.6083709507819305,5415777.481729635,10203886.654004376
2020-04-20 00:00:00 UTC,0.5300303666193164,4844617.211182358,9793448.786416825
2020-04-21 00:00:00 UTC,0.5728476393583961,4278323.953856146,8710613.092180697
2020-04-22 00:00:00 UTC,0.6920915448449846,4582781.1148671685,9610942.759514406
2020-04-23 00:00:00 UTC,0.623357673655046,5479097.758518397,18325417.56301229
2020-04-24 00:00:00 UTC,0.6222647649374106,4973626.230933076,13686644.95123084
2020-04-25 00:00:00 UTC,0.6514511467647831,4982120.720682955,8943901.777688092
2020-04-26 00:00:00 UTC,0.6400929031034838,5211609.174118265,7391745.10827016
2020-04-27 00:00:00 UTC,0.5678367882856368,5120743.224827871,8496639.891180081
2020-04-28 00:00:00 UTC,0.6564793467998281,4546523.845578628,7527619.136891058
2020-04-29 00:00:00 UTC,0.7433720155652229,5251834.774398625,7371904.916026309
2020-04-30 00:00:00 UTC,0.6937458488565206,5929512.108702119,8973977.144188361
2020-05-01 00:00:00 UTC,0.7158108051742456,5549966.790852165,5187680.816496699
2020-05-02 00:00:00 UTC,0.7127230406835205,5735631.457331113,4072351.58035405
2020-05-03 00:00:00 UTC,0.6857670779831354,5699503.146546209,3454834.96566358
2020-05-04 00:00:00 UTC,0.6662250149146228,5492878.53974373,3362153.064735856
2020-05-05 00:00:00 UTC,0.6512975747465728,5329800.119316982,3442983.683572515
2020-05-06 00:00:00 UTC,0.6164118294273094,5214312.590330994,2914523.5293316534
2020-05-07 00:00:00 UTC,0.6075036802669583,4931294.635418476,2702242.181525558
2020-05-08 00:00:00 UTC,0.608939662026112,4871519.119438461,3379765.0224384503
2020-05-09 00:00:00 UTC,0.6017917957668725,4827334.908169065,2493703.55942783
2020-05-10 00:00:00 UTC,0.541777928609612,4816707.909418276,2126230.1519960337
2020-05-11 00:00:00 UTC,0.5147566775048696,4324416.949285259,2370841.7230691817
2020-05-12 00:00:00 UTC,0.5333426539131136,4118053.4200389567,2116899.149422253
2020-05-13 00:00:00 UTC,0.5533191018747785,4266741.231304909,2182277.4116870984
2020-05-14 00:00:00 UTC,0.5713487397971048,4413742.897500913,2337721.3827509126
2020-05-15 00:00:00 UTC,0.5574982820849536,4582897.034790134,542423.5640225473
2020-05-16 00:00:00 UTC,0.594004423271469,4432087.508991812,1843430.9925927788
2020-05-17 00:00:00 UTC,0.6159337448626931,4752035.386171752,2265689.1755101425
2020-05-18 00:00:00 UTC,0.6477344448774962,4898008.357759836,2950437.821089827
2020-05-19 00:00:00 UTC,0.6277358942952668,5213969.633802138,3280890.995949265
2020-05-20 00:00:00 UTC,0.5787011037173093,4992434.521871735,2396133.36024372
2020-05-21 00:00:00 UTC,0.6064226707089416,4629608.829738474,2308241.280318506
2020-05-22 00:00:00 UTC,0.6370094197990073,4853042.594897839,2795701.8812229843
2020-05-23 00:00:00 UTC,0.6082201706733519,5096075.358392058,3348681.7060808684
2020-05-24 00:00:00 UTC,0.5465741722754689,4866957.615424991,2624526.4581755586
2020-05-25 00:00:00 UTC,0.6016193136433383,4374843.160369413,2831384.6236669393
2020-05-26 00:00:00 UTC,0.5731399463825178,4809730.17960867,4475953.961494594
2020-05-27 00:00:00 UTC,0.5893947612844183,4598505.351008801,2703457.5841550757
2020-05-28 00:00:00 UTC,0.5736883045706687,4715158.090275346,2547148.1525015305
2020-05-29 00:00:00 UTC,0.5774323126967125,9355135.435068997,2660071.925228077
2020-05-30 00:00:00 UTC,0.5837960324428446,9427078.266084636,2051249.6504508469
2020-05-31 00:00:00 UTC,0.5698205771682234,9578119.276557392,2430008.6459913
2020-06-01 00:00:00 UTC,0.5806537041322107,9406490.007226136,1922247.90852498
2020-06-02 00:00:00 UTC,0.5649860323558225,9472029.021345625,2249670.3323863335
2020-06-03 00:00:00 UTC,0.5866793911165121,9243123.656721586,1379146.1975913164
2020-06-04 00:00:00 UTC,0.5870813025085252,9590234.216567714,882979.8428813159
2020-06-05 00:00:00 UTC,0.6569611049457513,9574083.208699878,930550.2917223678
2020-06-06 00:00:00 UTC,0.6254174646400334,10747702.95638117,4253926.368138953
2020-06-07 00:00:00 UTC,0.619409101664067,10180036.835310562,1644975.9479360643
2020-06-08 00:00:00 UTC,0.6686682803575069,10132718.927192342,775131.6334111998
2020-06-09 00:00:00 UTC,0.654381561780581,10923024.62528431,1452046.7405313102
2020-06-10 00:00:00 UTC,0.6469464313599731,10722380.329005796,1004514.1334173644
2020-06-11 00:00:00 UTC,0.57085832350223,10639624.211739603,1160676.1048875083
2020-06-12 00:00:00 UTC,0.5939698612575487,9357593.847411634,1228783.9732028884
2020-06-13 00:00:00 UTC,0.6089787392111737,9716981.939280322,961395.9959180811
2020-06-14 00:00:00 UTC,0.5852967683098076,9959710.256455624,754120.2019024394
2020-06-15 00:00:00 UTC,0.5693345711589423,9589521.853056954,914314.6402915242
2020-06-16 00:00:00 UTC,0.5849358248450922,9330150.96086826,1050977.400144661
2020-06-17 00:00:00 UTC,0.5817844564727348,9571687.377252234,676342.0014336457
2020-06-18 00:00:00 UTC,0.6195083126702693,9517420.769870106,704145.3882639
2020-06-19 00:00:00 UTC,0.684092762950382,10220474.519610496,1371500.4318075408
2020-06-20 00:00:00 UTC,0.648140653526651,11247343.894203106,7075938.7242932515
2020-06-21 00:00:00 UTC,0.6723078833746423,10684326.128749236,1743252.3827024307
2020-06-22 00:00:00 UTC,0.7310203077615776,11086240.79289364,2284811.028959027
2020-06-23 00:00:00 UTC,0.7077338455894792,12050454.670074144,1586458.920873834
2020-06-24 00:00:00 UTC,0.7362746052376731,11650045.353758484,1384252.6688262708
2020-06-25 00:00:00 UTC,0.7124266994864017,12136465.74508035,2828048.4286493445
2020-06-26 00:00:00 UTC,0.7420654423886706,11748127.50271804,1800179.5721806623
2020-06-27 00:00:00 UTC,0.7118368096696973,12210143.324436467,1673509.5204769804
2020-06-28 00:00:00 UTC,0.8044059207384049,11750514.839677684,1709607.167635784
2020-06-29 00:00:00 UTC,0.8545425453464778,13166744.92172672,3425279.6305997605
2020-06-30 00:00:00 UTC,0.8583010746860983,14062849.974509096,2178825.491935364
2020-07-01 00:00:00 UTC,0.8317666952917206,14164459.013979023,4200540.060321002
2020-07-02 00:00:00 UTC,0.7745728536686214,13737840.609279668,1831943.5590396584
2020-07-03 00:00:00 UTC,0.7681320548769106,12783903.734507758,1794730.0492866964
2020-07-04 00:00:00 UTC,0.7810084788220825,12671326.309904687,1166539.6025761585
2020-07-05 00:00:00 UTC,0.6937990086594767,12892264.592707587,1684787.969223519
2020-07-06 00:00:00 UTC,0.7082490990185827,11423393.47428414,3823970.535165203
2020-07-07 00:00:00 UTC,0.7531574357972163,11691026.180906912,1169672.539505057
2020-07-08 00:00:00 UTC,0.795861803854058,12435090.742149867,1708612.5555536451
2020-07-09 00:00:00 UTC,0.8507109085473178,13138366.724263769,2260503.1445058854
2020-07-10 00:00:00 UTC,0.9166519565461196,14045120.422821058,2615562.347387862
2020-07-11 00:00:00 UTC,0.9215945969623982,15124596.53981408,1871870.0000304433
2020-07-12 00:00:00 UTC,1.013283304428055,15255221.428043248,1733824.0028990416
2020-07-13 00:00:00 UTC,1.173923057582873,16771128.981436845,4786333.013738594
2020-07-14 00:00:00 UTC,1.1494769281373274,20329352.501318388,4060564.7759684087
2020-07-15 00:00:00 UTC,1.2857558651435756,19972946.84442129,2238923.5428535324
2020-07-16 00:00:00 UTC,0.868641100351007,24362181.926540542,3357987.481822957
2020-07-17 00:00:00 UTC,0.9814397414316838,17421044.67558747,9294140.928664116
2020-07-18 00:00:00 UTC,0.967464746496242,20911970.895984627,11435939.77166833
2020-07-19 00:00:00 UTC,0.9223588160264716,20602905.143447436,2948152.5077327215
2020-07-20 00:00:00 UTC,0.8728493998110868,19645212.65646819,2215795.6862012334
2020-07-21 00:00:00 UTC,0.9787682844833352,18809147.721587732,3037170.2061719988
2020-07-22 00:00:00 UTC,1.0427953526909717,20859692.480081823,4291025.890999508
2020-07-23 00:00:00 UTC,1.0559326012595418,23291006.00333322,5394736.461137715
2020-07-24 00:00:00 UTC,0.9962153374438012,23582120.1816582,3039174.9948051893
2020-07-25 00:00:00 UTC,1.2535452396062594,22257226.763711892,2034380.5881697184
2020-07-26 00:00:00 UTC,1.575810588794881,27998456.46790909,9560459.211192831
2020-07-27 00:00:00 UTC,1.7827481392562672,35196205.81015293,9901793.170467377
2020-07-28 00:00:00 UTC,1.7849550663331446,41465582.71827517,35770750.11554943
2020-07-29 00:00:00 UTC,1.6579916445982583,41629008.98213003,9746385.093818463
2020-07-30 00:00:00 UTC,1.6863431950760894,40347412.24264446,11129517.234578392
2020-07-31 00:00:00 UTC,1.5382188989264582,41117076.71814283,5592419.707435141
2020-08-01 00:00:00 UTC,1.5375335781245834,37711209.168728195,5087243.869744745
2020-08-02 00:00:00 UTC,1.735943837531466,37476947.21557642,4745738.64880557
2020-08-03 00:00:00 UTC,1.7990798204273195,42382004.442631856,6735073.302272027
2020-08-04 00:00:00 UTC,1.8698435685744523,43977377.47237235,5775928.39484222
2020-08-05 00:00:00 UTC,1.7582276257583287,46368816.3139189,5677130.502823545
2020-08-06 00:00:00 UTC,2.1951349729195244,43050611.45569475,5533273.585781742
2020-08-07 00:00:00 UTC,2.0831238946011483,56772095.39392069,10430965.212637834
2020-08-08 00:00:00 UTC,2.4785023328343203,54969359.87215626,7916260.769360881
2020-08-09 00:00:00 UTC,2.6641825125615495,65401183.62573061,10298699.80819586
2020-08-10 00:00:00 UTC,3.13712326447775,70360553.76647416,11355698.624661462
2020-08-11 00:00:00 UTC,3.3062077094191937,87332088.95472732,21957101.010773063
2020-08-12 00:00:00 UTC,3.755097779328101,91851887.99480896,34208547.7304458
2020-08-13 00:00:00 UTC,3.733675412574768,105458413.8307931,27183601.992967613
